@relation distancias_entrenamiento-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute neurona1 numeric
@attribute neurona2 numeric
@attribute neurona3 numeric
@attribute neurona4 numeric
@attribute neurona5 numeric
@attribute neurona6 numeric
@attribute neurona7 numeric
@attribute neurona8 numeric
@attribute neurona9 numeric
@attribute neurona10 numeric
@attribute neurona11 numeric
@attribute neurona12 numeric
@attribute neurona13 numeric
@attribute neurona14 numeric
@attribute neurona15 numeric
@attribute neurona16 numeric
@attribute neurona17 numeric
@attribute neurona18 numeric
@attribute neurona19 numeric
@attribute neurona20 numeric
@attribute neurona21 numeric
@attribute neurona22 numeric
@attribute neurona23 numeric
@attribute neurona24 numeric
@attribute neurona25 numeric
@attribute neurona26 numeric
@attribute neurona27 numeric
@attribute neurona28 numeric
@attribute neurona29 numeric
@attribute neurona30 numeric
@attribute neurona31 numeric
@attribute neurona32 numeric
@attribute neurona33 numeric
@attribute neurona34 numeric
@attribute neurona35 numeric
@attribute neurona36 numeric
@attribute neurona37 numeric
@attribute neurona38 numeric
@attribute neurona39 numeric
@attribute neurona40 numeric
@attribute neurona41 numeric
@attribute neurona42 numeric
@attribute neurona43 numeric
@attribute neurona44 numeric
@attribute neurona45 numeric
@attribute neurona46 numeric
@attribute neurona47 numeric
@attribute neurona48 numeric
@attribute neurona49 numeric
@attribute neurona50 numeric
@attribute neurona51 numeric
@attribute neurona52 numeric
@attribute neurona53 numeric
@attribute neurona54 numeric
@attribute neurona55 numeric
@attribute neurona56 numeric
@attribute neurona57 numeric
@attribute neurona58 numeric
@attribute neurona59 numeric
@attribute neurona60 numeric
@attribute neurona61 numeric
@attribute neurona62 numeric
@attribute neurona63 numeric
@attribute neurona64 numeric
@attribute neurona65 numeric
@attribute neurona66 numeric
@attribute neurona67 numeric
@attribute neurona68 numeric
@attribute neurona69 numeric
@attribute neurona70 numeric
@attribute neurona71 numeric
@attribute neurona72 numeric
@attribute neurona73 numeric
@attribute neurona74 numeric
@attribute neurona75 numeric
@attribute neurona76 numeric
@attribute neurona77 numeric
@attribute neurona78 numeric
@attribute neurona79 numeric
@attribute neurona80 numeric
@attribute neurona81 numeric
@attribute neurona82 numeric
@attribute neurona83 numeric
@attribute neurona84 numeric
@attribute neurona85 numeric
@attribute neurona86 numeric
@attribute neurona87 numeric
@attribute neurona88 numeric
@attribute neurona89 numeric
@attribute neurona90 numeric
@attribute neurona91 numeric
@attribute neurona92 numeric
@attribute neurona93 numeric
@attribute neurona94 numeric
@attribute neurona95 numeric
@attribute neurona96 numeric
@attribute clase {1,2,3,4,5,6,7,8,9,10}

@data
0.125486,0.2312,0.102186,0.380512,0.171509,0.077157,0.074392,0.061296,0.329197,0.036811,0.038958,0.024297,0.079486,0.36169,0.243317,0.066313,0.067617,0.081662,0.211799,0.229803,0.08357,0.214765,0.098776,0.071952,0.332027,0.246913,0.336315,0.066313,0.067783,0.063901,0.388868,0.166798,0.137846,0.263486,0.047821,0.04233,0.035439,0.059886,0.070964,0.070656,0.067756,0.030877,0.102913,0.171509,0.157057,0.170969,0.050049,0.052673,0.140523,0.555485,0.183379,0.079486,0.055201,0.519653,0.288451,0.20913,0.051604,0.177709,0.068486,0.999213,0.072286,0.235419,0.405514,0.035439,0.063364,0.061296,0.15763,0.241822,0.072286,0.117553,0.117553,0.366958,0.074161,0.347486,0.276523,0.231416,0.175203,0.054166,0.080371,0.080686,0.130717,0.255311,0.328319,0.298671,0.093395,0.157057,0.089914,0.05006,0.205769,0.079756,0.049484,0.030162,0.206475,0.054166,0.097782,0.086016,1
0.124848,0.050806,0.082517,0.058871,0.166346,0.064627,0.093506,0.071242,0.059936,0.693394,1,0.780206,0.056314,0.056824,0.06687,0.076391,0.050471,0.141977,0.046909,0.155069,0.100983,0.092228,0.12004,0.262158,0.061014,0.044574,0.027513,0.076391,0.078786,0.157636,0.044073,0.128279,0.064467,0.059886,0.157284,0.153686,0.089893,0.061525,0.078616,0.078579,0.07861,0.043133,0.127152,0.076391,0.045516,0.04806,0.156371,0.159482,0.052043,0.064968,0.064143,0.033156,0.034121,0.081238,0.091614,0.046204,0.353463,0.043094,0.426604,0.040574,0.124746,0.181782,0.062348,0.089893,0.072157,0.071242,0.072472,0.199417,0.255514,0.214903,0.292809,0.042115,0.254228,0.117097,0.056314,0.064928,0.093506,0.089893,0.096955,0.097444,0.121457,0.08674,0.038958,0.135222,0.114877,0.106585,0.071173,0.083356,0.071242,0.06687,0.052043,0.114877,0.090174,0.887129,0.231097,0.390192,2
0.295926,0.150685,0.373578,0.179463,0.197761,0.264747,0.261844,0.134908,0.08154,0.130193,0.06687,0.067552,0.089714,0.219338,0.451501,0.197761,0.198763,0.126139,0.392009,0.213113,0.095544,0.08072,0.075749,0.057959,0.145974,0.169721,0.098026,0.051111,0.054817,0.048626,0.128116,0.191156,0.157402,0.243317,0.101842,0.098103,0.128305,0.142939,0.05648,0.056332,0.054939,0.089196,0.383918,0.260924,0.308451,0.313599,0.104877,0.104528,0.081674,0.119697,0.028909,0.128305,0.244268,0.131974,0.265759,0.306583,0.084953,0.268345,0.197942,0.109497,0.116345,0.120525,0.148044,0.060563,0.243934,0.392739,0.40344,0.29072,0.055398,0.238518,0.098103,0.263757,0.162636,0.166669,0.128305,0.206862,0.116145,0.32,0.278903,0.279329,0.208556,0.290016,0.243317,0.185177,0.197761,0.181211,0.763177,0.219988,0.134908,0.283325,0.287669,0.338129,0.082691,0.060563,0.106668,0.098103,3
0.206993,0.461659,0.102186,0.374057,0.463187,0.181226,0.224764,0.205769,0.263845,0.080752,0.059886,0.087736,0.155604,0.354647,0.189294,0.225221,0.295956,0.196288,0.277746,0.285495,0.248541,0.265397,0.173877,0.104738,0.717728,0.251915,0.265062,0.171509,0.175169,0.121119,0.191598,0.401684,0.358353,0.163045,0.167654,0.157057,0.112791,0.174077,0.18126,0.180813,0.175106,0.077125,0.146042,0.171509,0.26502,0.274251,0.167082,0.168867,0.140523,0.104274,0.094983,0.155604,0.155824,0.438733,0.28553,0.204285,0.104527,0.230304,0.131468,0.210779,0.248445,0.181487,0.215539,0.079486,0.26789,0.117553,0.266391,0.147004,0.102186,0.420908,0.117553,0.537593,0.190739,0.355016,0.112791,0.540423,0.224764,0.209585,0.237087,0.237434,0.295786,0.383365,0.328319,0.431689,0.171509,0.26502,0.159699,0.192868,0.26502,0.144809,0.248445,0.093395,0.21332,0.054166,0.095111,0.117553,4
0.050693,0.065088,0.043858,0.096351,0.135651,0.112949,0.052225,0.059101,0.32447,0.048584,0.052043,0.031199,0.074892,0.352147,0.081674,0.040796,0.043333,0.162423,0.061712,0.124996,0.218306,0.191567,0.14148,0.37487,0.190056,0.059211,0.125272,0.094467,0.098022,0.178881,0.163491,0.190197,0.077029,0.102186,0.133077,0.125208,0.112623,0.016975,0.097683,0.097649,0.097812,0.065595,0.069843,0.040796,0.059101,0.066894,0.137111,0.136709,1,0.080371,0.129143,0.047544,0.048659,0.168052,0.076453,0.060015,0.105351,0.052115,0.063604,0.145438,0.148087,0.27274,0.328227,0.028473,0.092122,0.059101,0.060072,0.057241,0.026479,0.059101,0.059101,0.208479,0.068118,0.045719,0.074892,0.111909,0.108749,0.112623,0.054979,0.055309,0.042051,0.098438,0.049484,0.113852,0.094467,0.087549,0.060154,0.102065,0.059101,0.036039,0.043858,0.135651,0.10288,0.074892,0.261501,0.087549,5
0.260364,0.294377,0.087549,0.719641,0.214219,0.067635,0.125597,0.145781,0.265123,0.066889,0.071242,0.070601,0.192322,0.377473,0.308451,0.158601,0.157158,0.100507,0.152604,0.138789,0.243437,0.161494,0.115871,0.088515,0.210214,0.239454,0.428343,0.114587,0.11749,0.10681,0.497919,0.430557,0.366876,0.117553,0.08056,0.074469,0.096115,0.153686,0.122513,0.122131,0.117453,0.058852,0.128001,0.114587,0.145781,0.156311,0.08312,0.083723,0.125208,0.230535,0.077347,0.138017,0.097896,0.377119,0.282783,0.105752,0.129898,0.22662,0.21467,0.417059,0.125208,0.132434,0.267801,0.041508,0.05243,0.105671,0.197,0.309751,0.17388,0.335723,0.145781,0.229997,0.126626,0.299198,0.138017,0.293562,0.168249,0.096115,0.134004,0.134374,0.223501,0.399599,0.26502,0.377222,0.114587,0.259067,0.110632,0.090021,0.335723,0.069398,0.125208,0.054562,0.270909,0.064567,0.114819,0.105671,6
0.146833,0.076949,0.217505,0.179368,0.260924,0.118811,0.041823,0.069398,0.193331,0.06271,0.06687,0.043415,0.039169,0.409383,0.360095,0.051111,0.054013,0.126002,0.248223,0.268974,0.13061,0.396337,0.211082,0.216885,0.31143,0.173709,0.069431,0.075002,0.077948,0.138861,0.455732,0.191255,0.086526,0.189294,0.195686,0.181211,0.060563,0.099543,0.081383,0.081144,0.07791,0.056822,0.21409,0.197761,0.238518,0.2636,0.204738,0.201199,0.287669,0.164188,0.046238,0.128305,0.130257,0.504239,0.155418,0.184146,0.084953,0.155558,0.146907,0.393524,0.217505,0.655978,0.849106,0.089714,0.103067,0.134908,0.102677,0.217809,0.055398,0.134908,0.069398,0.419199,0.119243,0.208624,0.178181,0.211753,0.203304,0.128305,0.04542,0.045697,0.077952,0.231743,0.189294,0.292317,0.106428,0.181211,0.181966,0.115903,0.098103,0.06464,0.036039,0.075002,0.189111,0.089714,0.201274,0.181211,7
0.279932,0.127441,0.256787,0.088098,0.233633,0.771028,0.312643,0.214219,0.092449,0.070592,0.076391,0.077166,0.149458,0.198896,0.197761,0.309763,0.319169,0.338438,0.082428,0.198239,0.149264,0.095977,0.127532,0.098636,0.224297,0.0537,0.054539,0.037916,0.040709,0.160716,0.052157,0.093921,0.136966,0.066313,0.118754,0.114587,0.149458,0.076391,0.042,0.041952,0.040594,0.061237,0.199363,0.086844,0.158601,0.164129,0.120922,0.119063,0.135651,0.100889,0.016952,0.103652,0.069425,0.117564,0.10092,0.08036,0.063088,0.242481,0.124474,0.066606,0.135651,0.139839,0.132684,0.103652,0.481637,0.158601,0.159037,0.198267,0.06346,0.283324,0.08044,0.137981,0.137001,0.114811,0.069282,0.248881,0.24176,0.637583,0.319879,0.320392,0.176223,0.21258,0.093395,0.135111,0.233633,0.158601,0.288069,0.344417,0.158601,0.43132,0.256787,0.403137,0.095359,0.103652,0.124529,0.214219,8
0.230851,0.203506,0.124996,0.26898,0.403356,0.092916,0.089645,0.104417,0.424671,0.102454,0.054607,0.079302,0.071741,0.370443,0.268974,0.113803,0.156527,0.132632,0.37875,0.303986,0.171813,0.288159,0.203556,0.093713,0.436318,0.22057,0.366347,0.113803,0.115887,0.10762,0.274073,0.23019,0.156049,0.229803,0.149646,0.138789,0.071741,0.112764,0.120231,0.119863,0.115797,0.046796,0.169121,0.254814,0.293601,0.308781,0.152011,0.152314,0.167001,0.205157,0.119101,0.10104,0.072938,0.745852,0.38168,0.236047,0.068639,0.312818,0.116863,0.424414,0.218797,0.259063,0.358081,0.10104,0.141714,0.104417,0.295358,0.270378,0.091462,0.232228,0.181021,0.472803,0.127974,0.446461,0.138512,0.255297,0.247935,0.138512,0.099009,0.099307,0.205976,0.48599,0.51411,0.52018,0.151652,0.232228,0.144416,0.126286,0.293601,0.096459,0.124996,0.059732,0.184747,0.049329,0.115822,0.138789,9
0.108383,0.150685,0.036039,0.227718,0.197761,0.120368,0.116145,0.069398,0.842325,0.039983,0.042988,0.026408,0.060563,0.413594,0.124801,0.075002,0.079043,0.129534,0.139455,0.096459,0.125065,0.110208,0.109283,0.115893,0.314818,0.128319,0.493369,0.075002,0.0766,0.10231,0.093737,0.109552,0.0864,0.189294,0.073919,0.069398,0.060563,0.026158,0.076609,0.076427,0.076444,0.033418,0.056417,0.106428,0.134908,0.1443,0.077214,0.078012,0.373578,0.267091,0.27544,0.024016,0.024629,0.416911,0.265753,0.184146,0.057827,0.155558,0.077521,0.381893,0.116345,0.122148,0.243234,0.039169,0.137492,0.047507,0.135238,0.126692,0.081674,0.069398,0.134908,0.433866,0.05595,0.133213,0.128305,0.117944,0.116145,0.128305,0.122364,0.122812,0.108862,0.236637,0.189294,0.183127,0.075002,0.181211,0.050027,0.115825,0.238518,0.06464,0.081674,0.075002,0.080245,0.039169,0.153478,0.134908,10
